title,value,weight,food,ingredients,recipe,adult portion size(g),child portion size(g),total recipe weight(g)
Lentil Soup,"[2, 1, 2, 2, 2, 1, 1, 4, 2, 1, 1, 1, 0, 2, 1]","[""tablespoons"", ""medium"", ""0"", ""medium"", ""stalks"", ""cup"", ""can"", ""cups"", ""cups"", ""teaspoon"", ""teaspoon"", ""0"", ""0"", ""cups"", ""tablespoon""]","[""olive oil"", ""onion, diced"", ""garlic, minced"", ""carrots, diced"", ""celery stalks, diced"", ""dried green or brown lentils, rinsed"", ""diced tomatoes with juice"", ""vegetable broth"", ""water"", ""ground cumin"", ""dried thyme"", ""bay leaf"", ""Salt and freshly ground black pepper to taste"", ""fresh spinach leaves"", ""lemon juice""]","[""2 tablespoons olive oil (30ml)"", ""1 medium onion, diced (150g)"", ""2 cloves garlic, minced (6g)"", ""2 medium carrots, diced (120g)"", ""2 celery stalks, diced (100g)"", ""1 cup dried green or brown lentils, rinsed (200g)"", ""1 can (400g) diced tomatoes with juice"", ""4 cups vegetable broth (1 liter)"", ""2 cups water (500ml)"", ""1 teaspoon ground cumin (2g)"", ""1 teaspoon dried thyme (1g)"", ""1 bay leaf"", ""Salt and freshly ground black pepper to taste (5g)"", ""2 cups fresh spinach leaves (60g)"", ""1 tablespoon lemon juice (15ml)""]","[""1. Heat the olive oil in a large pot over medium heat."", ""2. Add the diced onion, carrots, and celery; sauté until the vegetables are tender, about 5 minutes."", ""3. Stir in the minced garlic and cook for an additional minute."", ""4. Add the rinsed lentils, diced tomatoes with their juice, vegetable broth, water, ground cumin, dried thyme, bay leaf, salt, and freshly ground black pepper."", ""5. Bring the mixture to a boil, then reduce the heat to low and let it simmer, covered, for 30-35 minutes, or until the lentils are tender."", ""6. Remove the bay leaf and stir in the fresh spinach leaves until wilted."", ""7. Stir in the lemon juice before serving.""]",300,150,2101
Stuffed Peppers,"[6, 1, 1, 1, 2, 1, 1, 0.5, 1, 1, 1, 2]","[""large"", ""pound"", ""cup"", ""medium"", ""0"", ""can"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""cup"", ""tablespoons""]","[""bell peppers"", ""ground beef"", ""cooked rice"", ""onion, finely chopped"", ""garlic, minced"", ""tomato sauce"", ""salt"", ""freshly ground black pepper"", ""dried oregano"", ""dried basil"", ""shredded mozzarella cheese"", ""olive oil""]","[""6 large bell peppers (approximately 900g)"", ""1 pound ground beef (450g)"", ""1 cup cooked rice (200g)"", ""1 medium onion, finely chopped (150g)"", ""2 cloves garlic, minced (6g)"", ""1 can (15 ounces) tomato sauce (425g)"", ""1 teaspoon salt (5g)"", ""1/2 teaspoon freshly ground black pepper (1g)"", ""1 teaspoon dried oregano (1g)"", ""1 teaspoon dried basil (1g)"", ""1 cup shredded mozzarella cheese (100g)"", ""2 tablespoons olive oil (30ml)""]","[""1. Preheat the oven to 375°F (190°C)."", ""2. Cut the tops off the bell peppers and remove the seeds and membranes."", ""3. In a large skillet, heat the olive oil over medium heat."", ""4. Add the chopped onion and sauté until translucent, about 5 minutes."", ""5. Add the minced garlic and cook for an additional minute."", ""6. Add the ground beef to the skillet and cook until browned, breaking it up with a spoon, about 7-8 minutes."", ""7. Stir in the cooked rice, half of the tomato sauce, salt, black pepper, dried oregano, and dried basil."", ""8. Simmer the mixture for 5 minutes, allowing the flavors to meld."", ""9. Place the bell peppers upright in a baking dish."", ""10. Stuff each pepper with the beef and rice mixture, pressing down gently to fill completely."", ""11. Pour the remaining tomato sauce over the stuffed peppers."", ""12. Cover the baking dish with aluminum foil and bake for 35 minutes."", ""13. Remove the foil, sprinkle the shredded mozzarella cheese on top of each pepper, and bake uncovered for an additional 10 minutes, or until the cheese is melted and bubbly."", ""14. Let the stuffed peppers rest for a few minutes before serving.""]",300,150,1862
Beef Stroganoff,"[500, 2, 1, 2, 250, 1, 1, 1, 1, 2, 0, 0]","[""g"", ""tablespoons"", ""medium"", ""0"", ""g"", ""cup"", ""tablespoon"", ""teaspoon"", ""cup"", ""tablespoons"", ""0"", ""0""]","[""beef sirloin or tenderloin, thinly sliced into strips"", ""olive oil"", ""onion, finely chopped"", ""garlic, minced"", ""mushrooms, sliced"", ""beef broth"", ""Worcestershire sauce"", ""Dijon mustard"", ""sour cream"", ""all-purpose flour"", ""Salt and freshly ground black pepper to taste"", ""Fresh parsley, chopped, for garnish (optional)""]","[""500g beef sirloin or tenderloin, thinly sliced into strips"", ""2 tablespoons olive oil (30ml)"", ""1 medium onion, finely chopped (150g)"", ""2 cloves garlic, minced (6g)"", ""250g mushrooms, sliced"", ""1 cup beef broth (240ml)"", ""1 tablespoon Worcestershire sauce (15ml)"", ""1 teaspoon Dijon mustard (5g)"", ""1 cup sour cream (240g)"", ""2 tablespoons all-purpose flour (16g)"", ""Salt and freshly ground black pepper to taste (5g)"", ""Fresh parsley, chopped, for garnish (optional, 10g)""]","[""1. Heat 1 tablespoon of olive oil in a large skillet over medium-high heat."", ""2. Add the beef strips and cook until browned, about 2-3 minutes per side. Remove the beef from the skillet and set aside."", ""3. In the same skillet, add the remaining tablespoon of olive oil."", ""4. Sauté the chopped onion until translucent, about 3-4 minutes."", ""5. Add the minced garlic and sliced mushrooms; cook until the mushrooms are tender, approximately 5 minutes."", ""6. Sprinkle the flour over the mushroom mixture and stir well to combine."", ""7. Gradually pour in the beef broth, stirring continuously to avoid lumps."", ""8. Add the Worcestershire sauce and Dijon mustard; bring the mixture to a gentle simmer."", ""9. Reduce the heat to low and stir in the sour cream until the sauce is smooth."", ""10. Return the cooked beef to the skillet; simmer for an additional 5 minutes to heat through."", ""11. Season with salt and freshly ground black pepper to taste."", ""12. Garnish with chopped fresh parsley before serving.""]",300,150,1377
Fried Rice,"[3, 2, 1, 2, 1, 2, 3, 1, 1, 2, 0]","[""cups"", ""tablespoons"", ""medium"", ""0"", ""cup"", ""large"", ""tablespoons"", ""tablespoon"", ""teaspoon"", ""0"", ""0""]","[""cooked and chilled white rice"", ""vegetable oil"", ""onion, finely chopped"", ""garlic, minced"", ""frozen mixed vegetables (peas, carrots, corn), thawed"", ""eggs, beaten"", ""soy sauce"", ""oyster sauce"", ""sesame oil"", ""green onions, sliced"", ""Salt and freshly ground black pepper to taste""]","[""3 cups cooked and chilled white rice (600g)"", ""2 tablespoons vegetable oil (30ml)"", ""1 medium onion, finely chopped (150g)"", ""2 cloves garlic, minced (6g)"", ""1 cup frozen mixed vegetables (peas, carrots, corn), thawed (150g)"", ""2 large eggs, beaten (100g)"", ""3 tablespoons soy sauce (45ml)"", ""1 tablespoon oyster sauce (15ml)"", ""1 teaspoon sesame oil (5ml)"", ""2 green onions, sliced (20g)"", ""Salt and freshly ground black pepper to taste (5g)""]","[""1. Heat 1 tablespoon of vegetable oil in a large skillet or wok over medium-high heat."", ""2. Add the chopped onion and sauté until translucent, about 3-4 minutes."", ""3. Stir in the minced garlic and cook for an additional minute."", ""4. Push the onion and garlic mixture to one side of the skillet."", ""5. Pour the beaten eggs into the empty side and scramble until fully cooked."", ""6. Combine the scrambled eggs with the onion and garlic mixture."", ""7. Add the remaining tablespoon of vegetable oil to the skillet."", ""8. Stir in the cooked rice, breaking up any clumps, and cook for 2-3 minutes until heated through."", ""9. Add the thawed mixed vegetables and cook for another 2 minutes."", ""10. Pour in the soy sauce, oyster sauce, and sesame oil; stir well to combine."", ""11. Season with salt and freshly ground black pepper to taste."", ""12. Garnish with sliced green onions before serving.""]",300,150,1076
Sushi Rolls,"[2, 2.5, 0.25, 2, 1, 4, 1, 1, 200, 0, 0, 0]","[""cups"", ""cups"", ""cup"", ""tablespoons"", ""teaspoon"", ""sheets"", ""0"", ""0"", ""g"", ""0"", ""0"", ""0""]","[""sushi rice"", ""water"", ""rice vinegar"", ""sugar"", ""salt"", ""nori (dried seaweed)"", ""cucumber, julienned"", ""avocado, sliced"", ""imitation crab meat or cooked shrimp"", ""Soy sauce for serving (optional)"", ""Pickled ginger for serving (optional)"", ""Wasabi for serving (optional)""]","[""2 cups sushi rice (400g)"", ""2 1/2 cups water (600ml)"", ""1/4 cup rice vinegar (60ml)"", ""2 tablespoons sugar (25g)"", ""1 teaspoon salt (5g)"", ""4 sheets nori (dried seaweed)"", ""1 cucumber, julienned (200g)"", ""1 avocado, sliced (150g)"", ""200g imitation crab meat or cooked shrimp"", ""Soy sauce for serving (optional, 50ml)"", ""Pickled ginger for serving (optional, 50g)"", ""Wasabi for serving (optional, 10g)""]","[""1. Rinse the sushi rice under cold water until the water runs clear."", ""2. Combine the rinsed rice and water in a rice cooker or saucepan; cook according to the rice cooker's instructions or bring to a boil, then reduce heat to low, cover, and simmer for 18-20 minutes."", ""3. In a small saucepan, combine rice vinegar, sugar, and salt; heat over low heat until the sugar and salt dissolve."", ""4. Transfer the cooked rice to a large bowl; gently fold in the vinegar mixture until the rice is evenly seasoned. Allow the rice to cool to room temperature."", ""5. Place a sheet of nori, shiny side down, on a bamboo sushi mat covered with plastic wrap."", ""6. With wet hands, spread a thin, even layer of sushi rice over the nori, leaving a 1-inch border at the top edge."", ""7. Arrange cucumber, avocado, and imitation crab meat or shrimp horizontally across the center of the rice."", ""8. Using the bamboo mat, roll the sushi tightly from the bottom edge, applying gentle pressure to form a firm roll."", ""9. Moisten the top border of the nori with water to seal the roll."", ""10. Repeat steps 5-9 with the remaining ingredients."", ""11. Using a sharp knife, slice each roll into 6-8 pieces, wiping the knife with a damp cloth between cuts."", ""12. Serve the sushi rolls with soy sauce, pickled ginger, and wasabi if desired.""]",200,100,1165
Falafel,"[250, 1, 4, 1, 1, 2, 1, 1, 0.5, 0.5, 0.25, 3, 0]","[""g"", ""small"", ""0"", ""cup"", ""cup"", ""teaspoons"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""tablespoons"", ""0""]","[""dried chickpeas"", ""onion, finely chopped"", ""garlic, minced"", ""fresh parsley leaves, chopped"", ""fresh cilantro leaves, chopped"", ""ground cumin"", ""ground coriander"", ""salt"", ""ground black pepper"", ""baking powder"", ""cayenne pepper (optional)"", ""all-purpose flour"", ""Vegetable oil for frying""]","[""250g dried chickpeas"", ""1 small onion, finely chopped (100g)"", ""4 cloves garlic, minced (12g)"", ""1 cup fresh parsley leaves, chopped (60g)"", ""1 cup fresh cilantro leaves, chopped (60g)"", ""2 teaspoons ground cumin (4g)"", ""1 teaspoon ground coriander (2g)"", ""1 teaspoon salt (5g)"", ""1/2 teaspoon ground black pepper (1g)"", ""1/2 teaspoon baking powder (2g)"", ""1/4 teaspoon cayenne pepper (optional, 0.5g)"", ""3 tablespoons all-purpose flour (24g)"", ""Vegetable oil for frying""]","[""1. Place the dried chickpeas in a large bowl and cover with water. Soak for at least 12 hours or overnight."", ""2. Drain and rinse the soaked chickpeas thoroughly."", ""3. In a food processor, combine the chickpeas, onion, garlic, parsley, cilantro, cumin, coriander, salt, black pepper, baking powder, cayenne pepper (if using), and flour."", ""4. Pulse until the mixture is coarse and holds together when formed into a ball. Avoid over-processing into a paste."", ""5. Transfer the mixture to a bowl, cover, and refrigerate for 1-2 hours to firm up."", ""6. Heat vegetable oil in a deep skillet or fryer to 180°C (350°F)."", ""7. Using wet hands or a falafel scoop, form the mixture into small balls or patties, about 2 tablespoons each."", ""8. Fry the falafel in batches, avoiding overcrowding, until golden brown and crispy, approximately 3-4 minutes per side."", ""9. Remove with a slotted spoon and drain on paper towels."", ""10. Serve warm in pita bread with tahini sauce, fresh vegetables, and pickles.""]",150,75,600
Greek Salad,"[4, 1, 1, 1, 100, 200, 1, 60, 15, 5]","[""0"", ""0"", ""0"", ""0"", ""g"", ""g"", ""teaspoon"", ""ml"", ""ml"", ""g""]","[""ripe tomatoes, cut into wedges"", ""cucumber, sliced into half-moons"", ""red onion, thinly sliced"", ""green bell pepper, sliced"", ""Kalamata olives"", ""feta cheese, cut into cubes"", ""dried oregano"", ""extra virgin olive oil"", ""red wine vinegar"", ""salt and black pepper""]","[""4 ripe tomatoes, cut into wedges (600g)"", ""1 cucumber, sliced into half-moons (300g)"", ""1 red onion, thinly sliced (150g)"", ""1 green bell pepper, sliced (150g)"", ""100g Kalamata olives"", ""200g feta cheese, cut into cubes"", ""1 teaspoon dried oregano (1g)"", ""60ml extra virgin olive oil"", ""15ml red wine vinegar"", ""Salt and freshly ground black pepper to taste (5g)""]","[""1. In a large salad bowl, combine the tomatoes, cucumber, red onion, green bell pepper, and Kalamata olives."", ""2. Add the cubed feta cheese on top of the vegetables."", ""3. Sprinkle the dried oregano over the salad."", ""4. Drizzle the extra virgin olive oil and red wine vinegar over the ingredients."", ""5. Gently toss the salad to combine, being careful not to break up the feta cubes."", ""6. Season with salt and freshly ground black pepper to taste."", ""7. Serve immediately or let it sit for a few minutes to allow the flavors to meld.""]",300,150,1316
Meatball Subs,"[500, 0.5, 0.25, 1, 2, 1, 1, 0.5, 0.5, 2, 4, 1, 2]","[""g"", ""cup"", ""cup"", ""0"", ""0"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""cup"", ""roll"", ""cup"", ""tablespoon""]","[""ground beef"", ""breadcrumbs"", ""grated Parmesan cheese"", ""large egg"", ""garlic, minced"", ""dried oregano"", ""dried basil"", ""salt"", ""black pepper"", ""marinara sauce"", ""hoagie rolls"", ""shredded mozzarella cheese"", ""olive oil""]","[""500g ground beef"", ""1/2 cup breadcrumbs (60g)"", ""1/4 cup grated Parmesan cheese (25g)"", ""1 large egg (50g)"", ""2 cloves garlic, minced (6g)"", ""1 teaspoon dried oregano (1g)"", ""1 teaspoon dried basil (1g)"", ""1/2 teaspoon salt (2.5g)"", ""1/2 teaspoon freshly ground black pepper (1g)"", ""2 cups marinara sauce (480ml)"", ""4 hoagie rolls (400g)"", ""1 cup shredded mozzarella cheese (100g)"", ""2 tablespoons olive oil (30ml)""]","[""1. Preheat the oven to 200°C (400°F)."", ""2. In a large bowl, combine the ground beef, breadcrumbs, grated Parmesan cheese, egg, minced garlic, dried oregano, dried basil, salt, and freshly ground black pepper."", ""3. Mix until all ingredients are well incorporated."", ""4. Shape the mixture into meatballs, about 1 inch in diameter."", ""5. Place the meatballs on a baking sheet lined with parchment paper."", ""6. Bake in the preheated oven for 15-20 minutes, or until fully cooked."", ""7. While the meatballs are baking, heat the marinara sauce in a large saucepan over medium heat."", ""8. Once the meatballs are cooked, add them to the marinara sauce and simmer for 10 minutes."", ""9. Preheat the broiler on high."", ""10. Slice the hoagie rolls lengthwise, leaving one side intact."", ""11. Brush the inside of each roll with olive oil and place them on a baking sheet."", ""12. Broil the rolls for 1-2 minutes, or until lightly toasted."", ""13. Remove the rolls from the oven and fill each with meatballs and sauce."", ""14. Sprinkle shredded mozzarella cheese over the top of the meatballs."", ""15. Return the subs to the broiler for another 1-2 minutes, or until the cheese is melted and bubbly."", ""16. Serve hot.""]",300,150,1163
Chicken Chow Mein,"[200, 200, 1, 1, 1, 1, 2, 2, 1, 0.5, 0.25, 2]","[""g"", ""g"", ""tablespoon"", ""0"", ""cup"", ""g"", ""0"", ""tablespoon"", ""tablespoon"", ""teaspoon"", ""teaspoon"", ""g""]","[""boneless, skinless chicken breast, thinly sliced"", ""chow mein noodles"", ""vegetable oil"", ""medium onion, thinly sliced"", ""shredded cabbage"", ""medium carrot, julienned"", ""garlic, minced"", ""soy sauce"", ""oyster sauce"", ""sesame oil"", ""sugar"", ""ground white pepper"", ""green onions, chopped""]","[""200g boneless, skinless chicken breast, thinly sliced"", ""200g chow mein noodles"", ""1 tablespoon vegetable oil (15ml)"", ""1 medium onion, thinly sliced (150g)"", ""1 cup shredded cabbage (70g)"", ""1 medium carrot, julienned (60g)"", ""2 cloves garlic, minced (6g)"", ""2 tablespoons soy sauce (30ml)"", ""1 tablespoon oyster sauce (15ml)"", ""1 teaspoon sesame oil (5ml)"", ""1/2 teaspoon sugar (2g)"", ""1/4 teaspoon ground white pepper (0.5g)"", ""2 green onions, chopped (20g)""]","[""1. Cook the chow mein noodles according to package instructions. Drain and set aside."", ""2. In a small bowl, mix together soy sauce, oyster sauce, sesame oil, sugar, and ground white pepper. Set aside."", ""3. Heat vegetable oil in a large skillet or wok over medium-high heat."", ""4. Add the sliced chicken breast and stir-fry until fully cooked, about 5 minutes. Remove the chicken from the skillet and set aside."", ""5. In the same skillet, add the sliced onion, shredded cabbage, and julienned carrot. Stir-fry for 3-4 minutes until the vegetables are tender."", ""6. Add the minced garlic and cook for an additional minute."", ""7. Return the cooked chicken to the skillet and add the cooked noodles."", ""8. Pour the sauce mixture over the ingredients and toss to combine thoroughly."", ""9. Cook for another 2-3 minutes, ensuring everything is heated through."", ""10. Garnish with chopped green onions before serving.""]",300,150,606
Chicken Nuggets,"[500, 120, 5, 5, 5, 5, 2, 2, 60, 200, 0]","[""g"", ""g"", ""g"", ""g"", ""g"", ""g"", ""g"", ""0"", ""ml"", ""g"", ""0""]","[""boneless, skinless chicken breasts"", ""all-purpose flour"", ""garlic powder"", ""onion powder"", ""paprika"", ""salt"", ""black pepper"", ""large eggs"", ""milk"", ""breadcrumbs"", ""vegetable oil for frying""]","[""500g boneless, skinless chicken breasts"", ""120g all-purpose flour"", ""5g garlic powder"", ""5g onion powder"", ""5g paprika"", ""5g salt"", ""2g freshly ground black pepper"", ""2 large eggs (100g)"", ""60ml milk"", ""200g breadcrumbs"", ""Vegetable oil for frying""]","[""1. Cut the chicken breasts into bite-sized pieces."", ""2. In a bowl, combine the flour, garlic powder, onion powder, paprika, salt, and black pepper."", ""3. In another bowl, whisk together the eggs and milk."", ""4. Place the breadcrumbs in a third bowl."", ""5. Dredge each chicken piece in the seasoned flour, shaking off any excess."", ""6. Dip the floured chicken into the egg mixture, allowing any excess to drip off."", ""7. Coat the chicken with breadcrumbs, pressing gently to adhere."", ""8. Heat vegetable oil in a deep skillet or fryer to 180°C (350°F)."", ""9. Fry the chicken nuggets in batches until golden brown and cooked through, about 3-4 minutes per side."", ""10. Remove and drain on paper towels before serving.""]",150,75,980
Tuna Casserole,"[300, 2, 1, 2, 1, 2, 1, 1, 1, 0.5, 0.25, 0.5, 2]","[""g"", ""tablespoon"", ""0"", ""0"", ""cup"", ""can"", ""can"", ""cup"", ""cup"", ""teaspoon"", ""teaspoon"", ""cup"", ""tablespoon""]","[""egg noodles"", ""unsalted butter"", ""medium onion, finely chopped"", ""garlic, minced"", ""frozen peas"", ""tuna in water, drained"", ""condensed cream of mushroom soup"", ""whole milk"", ""shredded cheddar cheese"", ""salt"", ""black pepper"", ""breadcrumbs"", ""melted butter""]","[""300g egg noodles"", ""2 tablespoons unsalted butter (28g)"", ""1 medium onion, finely chopped (150g)"", ""2 cloves garlic, minced (6g)"", ""1 cup frozen peas (150g)"", ""2 cans (170g each) tuna in water, drained"", ""1 can (300g) condensed cream of mushroom soup"", ""1 cup whole milk (240ml)"", ""1 cup shredded cheddar cheese (100g)"", ""1/2 teaspoon salt (2.5g)"", ""1/4 teaspoon freshly ground black pepper (0.5g)"", ""1/2 cup breadcrumbs (60g)"", ""2 tablespoons melted butter (28g)""]","[""1. Preheat the oven to 180°C (350°F)."", ""2. Cook the egg noodles according to package instructions until al dente. Drain and set aside."", ""3. In a large skillet, melt 2 tablespoons of unsalted butter over medium heat."", ""4. Add the finely chopped onion and sauté until translucent, about 5 minutes."", ""5. Stir in the minced garlic and cook for an additional minute."", ""6. Add the frozen peas to the skillet and cook until heated through, about 2 minutes."", ""7. In a large mixing bowl, combine the cooked egg noodles, sautéed onion, garlic, peas, drained tuna, condensed cream of mushroom soup, whole milk, shredded cheddar cheese, salt, and freshly ground black pepper. Mix until well combined."", ""8. Transfer the mixture to a greased 2-liter (2-quart) baking dish, spreading it evenly."", ""9. In a small bowl, mix the breadcrumbs with 2 tablespoons of melted butter until the crumbs are evenly coated."", ""10. Sprinkle the buttered breadcrumbs over the top of the casserole."", ""11. Bake in the preheated oven for 25-30 minutes, or until the casserole is bubbly and the top is golden brown."", ""12. Let it rest for a few minutes before serving.""]",300,150,1500
Egg Salad,"[6, 0.25, 1, 1, 0.25, 0.125, 1, 1, 0.25]","[""0"", ""cup"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""tablespoon"", ""tablespoon"", ""cup""]","[""large eggs"", ""mayonnaise"", ""Dijon mustard"", ""fresh lemon juice"", ""salt"", ""black pepper"", ""finely chopped fresh chives"", ""finely chopped fresh parsley"", ""finely diced celery""]","[""6 large eggs (300g)"", ""1/4 cup mayonnaise (60g)"", ""1 teaspoon Dijon mustard (5g)"", ""1 teaspoon fresh lemon juice (5ml)"", ""1/4 teaspoon salt (1.5g)"", ""1/8 teaspoon freshly ground black pepper (0.25g)"", ""1 tablespoon finely chopped fresh chives (3g)"", ""1 tablespoon finely chopped fresh parsley (3g)"", ""1/4 cup finely diced celery (30g)""]","[""1. Place the eggs in a single layer in a saucepan and cover with water by about an inch."", ""2. Bring the water to a boil over medium-high heat."", ""3. Once boiling, remove the saucepan from the heat, cover, and let the eggs sit for 10-12 minutes."", ""4. Transfer the eggs to a bowl of ice water to cool completely, about 5 minutes."", ""5. Peel the eggs and chop them into small pieces."", ""6. In a medium bowl, combine the mayonnaise, Dijon mustard, lemon juice, salt, and black pepper."", ""7. Add the chopped eggs, chives, parsley, and celery to the bowl."", ""8. Gently fold the ingredients together until well combined."", ""9. Taste and adjust seasoning as needed."", ""10. Serve immediately or refrigerate until ready to use.""]",100,50,402
Miso Soup,"[4, 3, 0.5, 2, 2]","[""cup"", ""tablespoon"", ""cup"", ""tablespoon"", ""0""]","[""dashi (Japanese soup stock)"", ""miso paste"", ""cubed silken tofu"", ""dried wakame seaweed"", ""green onions, thinly sliced""]","[""4 cups dashi (Japanese soup stock) (960ml)"", ""3 tablespoons miso paste (45g)"", ""1/2 cup cubed silken tofu (120g)"", ""2 tablespoons dried wakame seaweed (2g)"", ""2 green onions, thinly sliced (20g)""]","[""1. In a medium saucepan, bring the dashi to a gentle simmer over medium heat."", ""2. Place the dried wakame seaweed in a small bowl and cover with water to rehydrate for about 5 minutes. Once rehydrated, drain and set aside."", ""3. In a separate bowl, place the miso paste. Ladle a small amount of the warm dashi into the bowl and whisk until the miso is fully dissolved, creating a smooth mixture."", ""4. Add the dissolved miso back into the saucepan with the remaining dashi, stirring gently to combine. Ensure the soup does not boil after adding the miso, as high heat can destroy its beneficial properties."", ""5. Add the cubed silken tofu and rehydrated wakame to the soup. Heat for an additional 1-2 minutes to warm the tofu and seaweed."", ""6. Remove the saucepan from heat and ladle the miso soup into bowls."", ""7. Garnish each bowl with thinly sliced green onions before serving.""]",300,150,1202
Beef Stir Fry,"[500, 2, 1, 1, 2, 1, 1, 1, 2, 1, 0.25, 1, 5, 5, 0]","[""g"", ""tablespoon"", ""tablespoon"", ""tablespoon"", ""tablespoon"", ""0"", ""0"", ""cup"", ""0"", ""teaspoon"", ""cup"", ""teaspoon"", ""g"", ""g"", ""0""]","[""beef sirloin or flank steak, thinly sliced against the grain"", ""soy sauce"", ""oyster sauce"", ""cornstarch"", ""vegetable oil"", ""onion, sliced"", ""red bell pepper, sliced"", ""broccoli florets"", ""garlic, minced"", ""grated fresh ginger"", ""beef broth"", ""sesame oil"", ""salt"", ""black pepper"", ""cooked rice or noodles for serving""]","[""500g beef sirloin or flank steak, thinly sliced against the grain"", ""2 tablespoons soy sauce (30ml)"", ""1 tablespoon oyster sauce (15ml)"", ""1 tablespoon cornstarch (8g)"", ""2 tablespoons vegetable oil (30ml)"", ""1 medium onion, sliced (150g)"", ""1 red bell pepper, sliced (150g)"", ""1 cup broccoli florets (150g)"", ""2 cloves garlic, minced (6g)"", ""1 teaspoon grated fresh ginger (5g)"", ""1/4 cup beef broth (60ml)"", ""1 teaspoon sesame oil (5ml)"", ""Salt and freshly ground black pepper to taste (5g)"", ""Cooked rice or noodles for serving""]","[""1. In a bowl, combine the sliced beef, soy sauce, oyster sauce, and cornstarch. Mix well and let it marinate for at least 15 minutes."", ""2. Heat 1 tablespoon of vegetable oil in a large skillet or wok over medium-high heat."", ""3. Add the marinated beef to the skillet and stir-fry until browned, about 2-3 minutes. Remove the beef from the skillet and set aside."", ""4. In the same skillet, add the remaining tablespoon of vegetable oil."", ""5. Add the sliced onion, red bell pepper, and broccoli florets. Stir-fry for 3-4 minutes until the vegetables are tender-crisp."", ""6. Add the minced garlic and grated ginger to the skillet and stir-fry for an additional minute."", ""7. Return the cooked beef to the skillet."", ""8. Pour in the beef broth and sesame oil, stirring to combine all ingredients."", ""9. Cook for another 2-3 minutes, allowing the sauce to thicken slightly."", ""10. Season with salt and freshly ground black pepper to taste."", ""11. Serve the beef stir-fry hot over cooked rice or noodles.""]",300,150,1206
Hot Dogs,"[4, 4, 2, 2, 0.25, 0.25, 0.25]","[""0"", ""0"", ""tablespoon"", ""tablespoon"", ""cup"", ""cup"", ""cup""]","[""beef hot dog sausages"", ""hot dog buns"", ""ketchup"", ""mustard"", ""diced onions"", ""relish"", ""shredded cheese (optional)""]","[""4 beef hot dog sausages (300g)"", ""4 hot dog buns (240g)"", ""2 tablespoons ketchup (30g)"", ""2 tablespoons mustard (30g)"", ""1/4 cup diced onions (40g)"", ""1/4 cup relish (40g)"", ""1/4 cup shredded cheese (optional, 30g)""]","[""1. Heat a grill, skillet, or pot of water to medium heat."", ""2. Grill or cook the hot dog sausages until they are heated through, about 5-7 minutes."", ""3. While the sausages cook, slice the buns down the middle without cutting all the way through."", ""4. Once the sausages are cooked, place them in the buns."", ""5. Add ketchup, mustard, and relish as desired."", ""6. Top with diced onions and shredded cheese (optional)."", ""7. Serve immediately with your favorite sides.""]",250,125,590
